FIRST_NAME,LAST_NAME,EMAIL,GENDER,DOB_DD_MM_YYYY,USER_TYPE,ROLE,AGE,CLIENT_NAME,PROJECT_NAME,PROJECT_START_DATE,PROJECT_END_DATE,PROJECT_DURATION,PROJECT_CATEGORY,ALLOCATION_START,ALLOCATION_END,ALLOCATION_DURATION,WEEK_START,WEEK_END,ACTIVITY,COMMENTS,MON,TUE,WED,THUR,FRI,SAT,SUN,FLAG,TOTAL_WEEK_HOURS,HOURS_OVER_OR_UNDER,FEEDBACK_START_PERIOD,FEEDBACK_END_PERIOD,Q1,Q2,Q3,Q4,Q5,Q6,FEEDBACK_COMMENTS,ATTENDANCE_REGULARIZATION
Cloe,Spinley,cspinleyi@ebay.com,Female,01-04-1982,User,software_developper,42,Koepp Inc,Consulting,2023-05-03,2023-06-07,35,Mid Cap Project,11-08-2023,01-09-2023,21,2024-01-31,2024-02-07,bau,Facing interruptions during work hours,4,8,3,5,6,6,6,False,38.0,-2.0,2023-06-07,2023-06-14,4,1,4,4,3,3,Concerns about the project's alignment with organizational goals.,0
Adorne,Bartkowiak,abartkowiakbp@timesonline.co.uk,Female,15-01-2002,User,software_developper,22,Yundt-MacGyver,Software_Developper,2024-03-08,2024-03-29,21,Mid Cap Project,28-08-2023,09-10-2023,42,2023-07-03,2023-07-10,bau,Facing communication issues with team,2,8,11,8,3,2,2,False,36.0,-4.0,2023-07-20,2023-07-27,2,3,4,2,1,1,Concerns about the team's alignment with project objectives.,0
Owen,Paur,opaurpt@jugem.jp,Female,14-04-1986,User,consultant,38,Koss-Orn,Software_Developper,2023-07-26,2023-08-23,28,Mid Cap Project,05-05-2023,19-05-2023,14,2023-09-12,2023-09-19,sales_activity,Task completion delayed due to unforeseen circumstances,10,3,2,2,1,9,6,True,33.0,-7.0,,,,,,,,,,1
Tonie,Tuckett,ttuckett2e@wiley.com,Female,03-10-1988,User,software_developper,36,Botsford Group,Software_Developper,2024-04-15,2024-05-06,21,Mid Cap Project,06-01-2024,27-01-2024,21,2023-11-27,2023-12-04,sales_activity,Feeling proud of contributions to project,8,1,7,12,5,5,2,False,40.0,0.0,,,,,,,,,,0
Maybelle,Bau,mbaunu@theguardian.com,Male,12-11-2000,User,software_developper,24,"Kshlerin, Leffler and Hansen",Software_Developper,2023-06-08,2023-07-13,35,Mid Cap Project,19-02-2024,11-03-2024,21,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,2023-10-22,2023-10-29,1,4,2,5,1,4,Experiencing difficulties in managing project risks and uncertainties.,1
Cloe,Spinley,cspinleyi@ebay.com,Female,01-04-1982,User,software_developper,42,"Beatty, Lockman and Ortiz",Software_Developper,2023-06-04,2023-07-02,28,Mid Cap Project,11-08-2023,01-09-2023,21,2023-05-14,2023-05-21,sales_activity,Feeling confident in project team's capabilities,6,8,10,3,1,2,9,True,39.0,-1.0,2023-09-14,2023-09-21,3,5,5,1,5,2,Feeling stressed due to the project's impact on team dynamics and morale.,0
Linnell,Garside,lgarsidell@bravesites.com,Male,29-04-1994,User,software_developper,30,"Herzog, Farrell and Murray",Software_Developper,2023-11-02,2023-11-30,28,Mid Cap Project,02-07-2023,30-07-2023,28,2023-09-14,2023-09-21,client_project,Facing resistance to change from stakeholders,5,3,2,8,8,9,1,False,36.0,-4.0,,,,,,,,,,0
Kirbee,Rosiello,krosielloqr@symantec.com,Female,02-07-1979,User,tribe_master,45,"Mayer, Marquardt and Heathcote",Software_Developper,2024-02-08,2024-02-29,21,Mid Cap Project,15-10-2023,12-11-2023,28,2024-02-10,2024-02-17,client_project,Need to enhance cross-functional collaboration,9,5,4,3,5,4,1,False,31.0,-9.0,2024-01-31,2024-02-07,1,5,4,1,4,5,Feeling unsupported in addressing team challenges.,1
Tiertza,Stowgill,tstowgill34@bloglines.com,Male,07-04-1982,User,consultant,42,Langosh Group,Software_Developper,2024-04-14,2024-05-05,21,Mid Cap Project,11-09-2023,16-10-2023,35,2024-02-10,2024-02-17,client_project,Need to enhance cross-functional collaboration,9,5,4,3,5,4,1,False,31.0,-9.0,2024-02-18,2024-02-25,3,1,4,2,4,3,Feeling overwhelmed by the number of project meetings.,1
Damon,Toffetto,dtoffettopl@census.gov,Female,12-08-1998,User,intern,26,Hettinger-Littel,Software_Developper,2024-04-20,2024-05-11,21,Mid Cap Project,22-08-2023,12-09-2023,21,2023-07-04,2023-07-11,sales_activity,Feeling confident about progress made,10,1,8,5,3,4,3,False,34.0,-6.0,2023-11-10,2023-11-17,5,5,4,1,1,4,Concerns about the project's risks and mitigation strategies.,1
Owen,Paur,opaurpt@jugem.jp,Female,14-04-1986,User,consultant,38,Stiedemann Inc,Software_Developper,2023-04-09,2023-04-23,14,Small Cap Project,05-05-2023,19-05-2023,14,2024-04-05,2024-04-12,sales_activity,Need to improve feedback mechanisms,12,11,7,11,1,2,1,False,45.0,5.0,,,,,,,,,,0
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,27-09-1999,User,consultant,25,Harber-Wintheiser,Software_Developper,2023-08-11,2023-08-25,14,Small Cap Project,22-02-2024,28-03-2024,35,2024-03-26,2024-04-02,bau,Task complexity higher than anticipated,1,3,8,5,9,5,2,True,33.0,-7.0,,,,,,,,,,1
Alonso,Zanicchelli,azanicchellipa@nymag.com,Male,24-07-1987,User,software_developper,37,Kihn-Mueller,Software_Developper,2023-07-25,2023-09-05,42,Mid Cap Project,08-10-2023,29-10-2023,21,2024-03-01,2024-03-08,client_project,Feeling supported by project manager,2,8,5,8,3,6,10,True,42.0,2.0,2023-06-26,2023-07-03,4,2,3,5,1,5,Concerns about the team's adherence to project timelines.,0
Emmalyn,Drummer,edrummerid@shareasale.com,Male,20-10-1998,User,tribe_master,26,Kohler Inc,Software_Developper,2023-04-23,2023-05-14,21,Mid Cap Project,13-07-2023,03-08-2023,21,2023-09-26,2023-10-03,client_project,Need more resources to complete tasks,10,4,8,3,1,4,3,False,33.0,-7.0,,,,,,,,,,1
Brandy,Caret,bcaretri@discovery.com,Female,06-02-1994,User,software_developper,30,Turner Inc,Software_Developper,2023-06-16,2023-07-07,21,Mid Cap Project,12-03-2024,09-04-2024,28,2023-08-31,2023-09-07,client_project,Task complexity causing delays,3,6,7,2,5,10,1,False,34.0,-6.0,2024-04-06,2024-04-13,2,5,5,3,1,5,Struggling with maintaining project team motivation and morale.,1
Briny,Kittman,bkittmannd@dyndns.org,Male,04-09-1983,User,tribe_master,41,"Beatty, Lockman and Ortiz",Software_Developper,2023-06-04,2023-07-02,28,Mid Cap Project,23-03-2024,04-05-2024,42,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2024-01-18,2024-01-25,1,2,4,4,2,3,Concerns about the team's communication gaps.,1
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,06-03-1984,User,consultant,40,Koepp Inc,Consulting,2023-05-03,2023-06-07,35,Mid Cap Project,26-06-2023,17-07-2023,21,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2023-12-30,2024-01-06,4,5,4,3,3,3,Experiencing difficulties in delegating tasks effectively.,1
Angie,Stickings,astickings25@columbia.edu,Male,02-02-1976,User,software_developper,48,Berge Inc,Consulting,2023-10-03,2023-11-14,42,Mid Cap Project,21-05-2023,04-06-2023,14,2023-06-20,2023-06-27,bau,Feeling optimistic about project outcomes,8,7,8,5,10,1,10,False,49.0,9.0,2023-06-22,2023-06-29,2,5,2,1,5,5,Experiencing challenges in managing project timelines and milestones.,0
Maddy,Fendley,mfendley9n@chron.com,Female,26-07-1988,User,consultant,36,"Keebler, Feil and Monahan",Software_Developper,2023-05-02,2023-06-06,35,Mid Cap Project,30-11-2023,21-12-2023,21,2023-05-31,2023-06-07,sales_activity,Experiencing delays due to external factors,3,5,12,2,5,1,4,False,32.0,-8.0,2023-05-20,2023-05-27,3,2,4,5,1,4,Feeling unsupported in addressing project issues effectively.,1
Winthrop,Skells,wskells1w@friendfeed.com,Male,20-10-1983,User,software_developper,41,Schneider Inc,Software_Developper,2023-04-21,2023-05-12,21,Mid Cap Project,26-08-2023,30-09-2023,35,,,,,,,,,,,,,,,2024-03-25,2024-04-01,2,3,2,2,5,4,Concerns about the project's impact on team morale and motivation.,0
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,09-10-1980,User,consultant,44,Harber-Wintheiser,Software_Developper,2023-08-11,2023-08-25,14,Small Cap Project,22-02-2024,28-03-2024,35,2023-08-11,2023-08-18,client_project,Feeling satisfied with progress made,6,4,11,11,2,9,4,False,47.0,7.0,,,,,,,,,,0
Francisca,Piburn,fpiburn4e@scribd.com,Male,10-07-1975,User,consultant,49,"Hane, Marks and Marquardt",Software_Developper,2023-05-18,2023-06-29,42,Mid Cap Project,21-04-2023,26-05-2023,35,2023-09-13,2023-09-20,sales_activity,Need to update project documentation,3,8,10,5,7,4,2,False,39.0,-1.0,,,,,,,,,,0
Maybelle,Bau,mbaunu@theguardian.com,Male,12-11-2000,User,software_developper,24,Yundt-MacGyver,Software_Developper,2024-03-08,2024-03-29,21,Mid Cap Project,19-02-2024,11-03-2024,21,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,2023-10-22,2023-10-29,1,4,2,5,1,4,Experiencing difficulties in managing project risks and uncertainties.,1
Leese,Divine,ldivinegk@naver.com,Female,17-07-1980,User,software_developper,44,Smith Group,Consulting,2023-05-08,2023-06-12,35,Mid Cap Project,03-04-2024,08-05-2024,35,2023-12-02,2023-12-09,client_project,Facing constraints due to resource limitations,1,12,6,7,3,8,4,False,41.0,1.0,2023-10-05,2023-10-12,1,1,1,2,1,2,Seeking guidance on managing project constraints.,0
Steward,Rupert,srupertqj@nhs.uk,Female,05-10-1986,User,software_developper,38,Crooks-Heller,Software_Developper,2024-01-17,2024-01-31,14,Small Cap Project,12-06-2023,03-07-2023,21,2023-12-23,2023-12-30,client_project,Task requirements changed without notice,11,11,11,2,8,8,4,False,55.0,15.0,2023-08-11,2023-08-18,4,1,4,4,2,3,Feeling stressed due to the project's impact on team dynamics and morale.,0
Hermina,Musker,hmuskermu@google.ca,Male,08-06-1992,User,tribe_master,32,Frami-Hudson,Software_Developper,2023-06-19,2023-07-31,42,Mid Cap Project,14-03-2024,25-04-2024,42,2023-10-03,2023-10-10,bau,Feeling confident about meeting upcoming deadlines,8,3,7,7,6,10,1,False,42.0,2.0,2023-08-09,2023-08-16,5,4,4,5,3,4,Struggling to balance multiple projects simultaneously.,0
Dewie,Amaya,damaya1q@indiatimes.com,Male,07-07-1976,User,consultant,48,"Corkery, Wiegand and Kovacek",Software_Developper,2023-08-17,2023-09-14,28,Mid Cap Project,14-08-2023,28-08-2023,14,2023-09-12,2023-09-19,sales_activity,Task completion delayed due to unforeseen circumstances,10,3,2,2,1,9,6,True,33.0,-7.0,2023-05-20,2023-05-27,3,1,1,5,4,4,Seeking guidance on managing project schedules and deadlines.,1
Cloe,Spinley,cspinleyi@ebay.com,Female,01-04-1982,User,software_developper,42,"Beatty, Lockman and Ortiz",Software_Developper,2023-06-04,2023-07-02,28,Mid Cap Project,11-08-2023,01-09-2023,21,2023-09-14,2023-09-21,bau,Facing communication issues with team,9,12,6,9,7,2,6,False,51.0,11.0,2023-06-07,2023-06-14,4,1,4,4,3,3,Concerns about the project's alignment with organizational goals.,0
Maddy,Fendley,mfendley9n@chron.com,Female,26-07-1988,User,consultant,36,Nolan-Thompson,Software_Developper,2023-06-25,2023-07-30,35,Mid Cap Project,30-11-2023,21-12-2023,21,2023-12-18,2023-12-25,sales_activity,Feeling valued and appreciated by team,6,6,1,3,2,2,11,False,31.0,-9.0,2023-05-20,2023-05-27,3,2,4,5,1,4,Feeling unsupported in addressing project issues effectively.,1
Sam,Pfeuffer,spfeufferad@twitpic.com,Male,18-03-1986,User,software_developper,38,Hudson-Wisoky,Software_Developper,2023-12-07,2024-01-18,42,Mid Cap Project,13-07-2023,10-08-2023,28,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,2023-04-18,2023-04-25,3,5,3,4,1,4,Concerns about the project's alignment with organizational priorities.,1
